Argument values: path=/home/nikiaker/Projects/studia/stop2/sem2/algorytmy/lab1/framsticks/Framsticks54, lib=None, sim=eval-allcriteria-mini.sim;deterministic.sim;recording-body-coords.sim;only-body.sim;placement_random.sim, genformat=0, initialgenotype=None, opt=jumpdistance, popsize=60, generations=300, tournament=7, pmut=0.9, pxov=0.0, hof_size=1, hof_savefile=genotypes_jump/HoF-jump-f0-eps002-random-run1.gen, max_numparts=20, max_numjoints=40, max_numneurons=0, max_numconnections=0, max_numgenochars=None, log_file=logs_jump/log-jump-f0-eps002-random-run1.json, stagnation_generations=None, plateau_escape=False, eps=0.02, placement=random
Using Framsticks version: 5.4
Home (writable) dir     : /home/nikiaker/Projects/studia/stop2/sem2/algorytmy/lab1/framsticks/Framsticks54/data
Resources dir           : /home/nikiaker/Projects/studia/stop2/sem2/algorytmy/lab1/framsticks/Framsticks54/data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria-mini.sim', 'deterministic.sim', 'recording-body-coords.sim', 'only-body.sim', 'placement_random.sim']

Simulator.load: Loading from 'eval-allcriteria-mini.sim'
Simulator.load: Loaded simulator settings from 'eval-allcriteria-mini.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'recording-body-coords.sim'
Loader.load: Comments read from file follow:
Loader.load:  The recording of the "center of gravity" (or mass) of all Parts of a creature during its lifespan, and
Loader.load:  the recording of coordinates of all Parts are stored as data->bodyrecording.
Loader.load:  Use STORE_ALL_PART_COORDS below to decide how much data you need recorded - maybe only COG and no Parts.
Loader.load: 
Loader.load:  If STORE_ALL_PART_COORDS=0 below, only COG is stored and the format is
Loader.load:  [ [cog1x,cog1y,cog1z], [cog2x,cog2y,cog2z], [cog3x,cog3y,cog3z], ...]
Loader.load:  where index numbers in the names are simulation steps.
Loader.load:  So you get a vector of COG x,y,z coordinates repeated for every simulation step.
Loader.load: 
Loader.load:  If STORE_ALL_PART_COORDS=1 below, the format is more verbose with one more level of nesting, because after the COG,
Loader.load:  the list of coordinates of all Parts follows (the first index in the names below is the simulation step, the second one is Part number)
Loader.load:  [ [[cog1x,cog1y,cog1z], [p1_1x,p1_1y,p1_1z], [p1_2x,p1_2y,p1_2z], ...], ...]
Loader.load: 
Loader.load:  You can further limit the amount of stored data by recording coordinates less frequently - see onCreaturesStep() comment below.
Loader.load:  Adjust 'Energy0' to achieve the lifespan you need.
Loader.load:  'evalcount' should likely be 1 unless you need other performance criteria (like vertpos or distance) averaged from multiple evaluations.
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution unless you prefer to provide its path when loading.
Simulator.load: Loaded simulator settings from 'recording-body-coords.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Simulator.load: Loading from 'placement_random.sim'
Loader.load: Comments read from file follow:
Loader.load:  Force random placement (overrides standard_placement.inc)
[WARN] MultiParamLoader.go: Ignored unexpected line 3 while reading 'placement_random.sim'
[WARN] MultiParamLoader.go: Ignored unexpected line 5 while reading 'placement_random.sim'
[WARN] MultiParamLoader.go: The following line(s) were also unexpected and were ignored
[WARN] Simulator.load: No known/requested objects found in 'placement_random.sim'
Using mutation rate from frams: 0.0
gen	nevals	avg	stddev	min	max
0  	60    	0  	0     	0  	0  
1  	57    	0  	0     	0  	0  
2  	52    	0  	0     	0  	0  
3  	49    	0  	0     	0  	0  
4  	52    	0  	0     	0  	0  
5  	52    	0  	0     	0  	0  
6  	55    	0  	0     	0  	0  
7  	53    	0  	0     	0  	0  
8  	56    	0  	0     	0  	0  
9  	55    	0  	0     	0  	0  
10 	55    	0  	0     	0  	0  
11 	55    	0  	0     	0  	0  
12 	55    	0  	0     	0  	0  
13 	53    	0  	0     	0  	0  
14 	54    	0  	0     	0  	0  
15 	53    	0  	0     	0  	0  
16 	51    	0  	0     	0  	0  
17 	53    	0  	0     	0  	0  
18 	53    	7.52039e-06	5.77652e-05	0  	0.000451223
19 	55    	0          	0          	0  	0          
20 	54    	0          	0          	0  	0          
Selection: ignoring 1 infeasible solution in a population of size 60
21 	52    	0          	0          	0  	0          
22 	51    	0          	0          	0  	0          
23 	53    	0          	0          	0  	0          
24 	56    	0          	0          	0  	0          
25 	51    	0          	0          	0  	0          
26 	53    	0          	0          	0  	0          
27 	55    	0          	0          	0  	0          
28 	53    	0          	0          	0  	0          
29 	55    	0          	0          	0  	0          
30 	52    	0          	0          	0  	0          
31 	51    	0          	0          	0  	0          
32 	56    	0          	0          	0  	0          
33 	57    	0          	0          	0  	0          
34 	54    	0          	0          	0  	0          
35 	54    	0          	0          	0  	0          
36 	56    	0          	0          	0  	0          
37 	54    	0          	0          	0  	0          
38 	57    	0          	0          	0  	0          
39 	55    	0          	0          	0  	0          
40 	55    	0          	0          	0  	0          
41 	53    	0          	0          	0  	0          
42 	53    	0          	0          	0  	0          
43 	49    	0          	0          	0  	0          
44 	56    	0          	0          	0  	0          
45 	54    	0          	0          	0  	0          
46 	54    	0          	0          	0  	0          
47 	56    	0          	0          	0  	0          
48 	52    	0          	0          	0  	0          
49 	51    	0          	0          	0  	0          
50 	53    	0          	0          	0  	0          
51 	55    	0          	0          	0  	0          
52 	57    	0          	0          	0  	0          
53 	55    	0          	0          	0  	0          
54 	50    	0          	0          	0  	0          
55 	50    	0          	0          	0  	0          
56 	56    	0          	0          	0  	0          
57 	52    	0          	0          	0  	0          
58 	56    	0          	0          	0  	0          
59 	56    	0          	0          	0  	0          
60 	57    	0          	0          	0  	0          
61 	53    	0          	0          	0  	0          
62 	51    	0          	0          	0  	0          
63 	55    	0          	0          	0  	0          
64 	54    	0          	0          	0  	0          
65 	51    	0          	0          	0  	0          
66 	55    	0          	0          	0  	0          
67 	50    	0          	0          	0  	0          
68 	51    	0          	0          	0  	0          
69 	56    	0          	0          	0  	0          
70 	59    	0          	0          	0  	0          
71 	56    	0          	0          	0  	0          
72 	55    	0          	0          	0  	0          
73 	54    	0          	0          	0  	0          
74 	53    	0          	0          	0  	0          
75 	51    	0          	0          	0  	0          
76 	56    	0          	0          	0  	0          
77 	54    	0          	0          	0  	0          
78 	56    	0          	0          	0  	0          
79 	55    	0          	0          	0  	0          
80 	57    	0          	0          	0  	0          
81 	56    	0          	0          	0  	0          
82 	52    	0          	0          	0  	0          
83 	53    	0          	0          	0  	0          
84 	52    	0          	0          	0  	0          
85 	52    	0          	0          	0  	0          
86 	54    	0          	0          	0  	0          
87 	59    	0          	0          	0  	0          
88 	52    	0          	0          	0  	0          
89 	52    	3.62725e-05	0.000278614	0  	0.00217635 
90 	53    	3.64018e-05	0.000279608	0  	0.00218411 
91 	51    	7.71345e-05	0.000416059	0  	0.00244396 
92 	55    	7.71345e-05	0.000416059	0  	0.00244396 
93 	52    	0.000109205	0.000476016	0  	0.00218411 
94 	54    	9.08498e-05	0.000499566	0  	0.00327893 
95 	52    	0.0001817  	0.000694713	0  	0.00327893 
96 	53    	0.000339086	0.00108342 	0  	0.00513297 
97 	56    	0.000162822	0.000709766	0  	0.00328187 
98 	56    	0          	0          	0  	0          
99 	56    	0          	0          	0  	0          
100	54    	0          	0          	0  	0          
101	55    	0          	0          	0  	0          
102	51    	0          	0          	0  	0          
103	54    	0          	0          	0  	0          
104	54    	0          	0          	0  	0          
105	55    	0          	0          	0  	0          
106	56    	0          	0          	0  	0          
107	54    	0          	0          	0  	0          
108	55    	0          	0          	0  	0          
109	57    	0          	0          	0  	0          
110	55    	0          	0          	0  	0          
111	54    	0          	0          	0  	0          
112	51    	0          	0          	0  	0          
113	50    	0          	0          	0  	0          
114	55    	0          	0          	0  	0          
115	55    	0          	0          	0  	0          
116	54    	0          	0          	0  	0          
117	53    	0          	0          	0  	0          
118	54    	0          	0          	0  	0          
119	53    	0          	0          	0  	0          
120	55    	0          	0          	0  	0          
121	52    	0          	0          	0  	0          
122	50    	0          	0          	0  	0          
123	54    	0          	0          	0  	0          
124	49    	0          	0          	0  	0          
125	52    	0          	0          	0  	0          
126	52    	0          	0          	0  	0          
127	56    	0          	0          	0  	0          
128	54    	0          	0          	0  	0          
129	56    	0          	0          	0  	0          
130	56    	0          	0          	0  	0          
131	56    	0          	0          	0  	0          
132	58    	0          	0          	0  	0          
Selection: ignoring 1 infeasible solution in a population of size 60
133	58    	4.05914e-05	0.000311788	0  	0.00243548 
134	54    	8.11828e-05	0.000437183	0  	0.00243548 
135	53    	0.000275291	0.000740348	0  	0.00243548 
