Argument values: path=/home/nikiaker/Projects/studia/stop2/sem2/algorytmy/lab1/framsticks/Framsticks54, lib=None, sim=eval-allcriteria-mini.sim;deterministic.sim;recording-body-coords.sim, genformat=1, initialgenotype=None, opt=jumpdistance, popsize=60, generations=300, tournament=7, pmut=0.9, pxov=0.0, hof_size=1, hof_savefile=genotypes_jump/HoF-jump-f1-eps002-center-run9.gen, max_numparts=20, max_numjoints=40, max_numneurons=10, max_numconnections=20, max_numgenochars=None, log_file=logs_jump/log-jump-f1-eps002-center-run9.json, stagnation_generations=None, plateau_escape=False, eps=0.02, placement=center
Using Framsticks version: 5.4
Home (writable) dir     : /home/nikiaker/Projects/studia/stop2/sem2/algorytmy/lab1/framsticks/Framsticks54/data
Resources dir           : /home/nikiaker/Projects/studia/stop2/sem2/algorytmy/lab1/framsticks/Framsticks54/data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria-mini.sim', 'deterministic.sim', 'recording-body-coords.sim']

Simulator.load: Loading from 'eval-allcriteria-mini.sim'
Simulator.load: Loaded simulator settings from 'eval-allcriteria-mini.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'recording-body-coords.sim'
Loader.load: Comments read from file follow:
Loader.load:  The recording of the "center of gravity" (or mass) of all Parts of a creature during its lifespan, and
Loader.load:  the recording of coordinates of all Parts are stored as data->bodyrecording.
Loader.load:  Use STORE_ALL_PART_COORDS below to decide how much data you need recorded - maybe only COG and no Parts.
Loader.load: 
Loader.load:  If STORE_ALL_PART_COORDS=0 below, only COG is stored and the format is
Loader.load:  [ [cog1x,cog1y,cog1z], [cog2x,cog2y,cog2z], [cog3x,cog3y,cog3z], ...]
Loader.load:  where index numbers in the names are simulation steps.
Loader.load:  So you get a vector of COG x,y,z coordinates repeated for every simulation step.
Loader.load: 
Loader.load:  If STORE_ALL_PART_COORDS=1 below, the format is more verbose with one more level of nesting, because after the COG,
Loader.load:  the list of coordinates of all Parts follows (the first index in the names below is the simulation step, the second one is Part number)
Loader.load:  [ [[cog1x,cog1y,cog1z], [p1_1x,p1_1y,p1_1z], [p1_2x,p1_2y,p1_2z], ...], ...]
Loader.load: 
Loader.load:  You can further limit the amount of stored data by recording coordinates less frequently - see onCreaturesStep() comment below.
Loader.load:  Adjust 'Energy0' to achieve the lifespan you need.
Loader.load:  'evalcount' should likely be 1 unless you need other performance criteria (like vertpos or distance) averaged from multiple evaluations.
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution unless you prefer to provide its path when loading.
Simulator.load: Loaded simulator settings from 'recording-body-coords.sim'
Using mutation rate from frams: 0.0
gen	nevals	avg	stddev	min	max
0  	60    	0  	0     	0  	0  
1  	56    	0  	0     	0  	0  
2  	53    	0  	0     	0  	0  
3  	54    	0  	0     	0  	0  
4  	50    	0  	0     	0  	0  
5  	55    	0  	0     	0  	0  
6  	52    	0  	0     	0  	0  
7  	56    	0  	0     	0  	0  
8  	52    	0  	0     	0  	0  
9  	55    	0  	0     	0  	0  
10 	53    	0  	0     	0  	0  
11 	57    	0  	0     	0  	0  
12 	57    	0  	0     	0  	0  
13 	54    	0  	0     	0  	0  
14 	58    	0  	0     	0  	0  
15 	52    	0  	0     	0  	0  
16 	54    	0  	0     	0  	0  
17 	58    	0  	0     	0  	0  
18 	53    	0  	0     	0  	0  
19 	53    	0  	0     	0  	0  
20 	56    	0  	0     	0  	0  
21 	52    	0  	0     	0  	0  
22 	53    	0  	0     	0  	0  
23 	55    	0  	0     	0  	0  
24 	49    	0  	0     	0  	0  
25 	58    	0  	0     	0  	0  
Selection: ignoring 1 infeasible solution in a population of size 60
26 	55    	0  	0     	0  	0  
27 	55    	0  	0     	0  	0  
28 	50    	0  	0     	0  	0  
29 	53    	0  	0     	0  	0  
30 	52    	0  	0     	0  	0  
31 	53    	0  	0     	0  	0  
32 	57    	0  	0     	0  	0  
33 	54    	0  	0     	0  	0  
Selection: ignoring 2 infeasible solutions in a population of size 60
34 	55    	0  	0     	0  	0  
35 	55    	0  	0     	0  	0  
36 	56    	0  	0     	0  	0  
37 	58    	0  	0     	0  	0  
38 	50    	0  	0     	0  	0  
39 	53    	0  	0     	0  	0  
40 	54    	0  	0     	0  	0  
41 	58    	0  	0     	0  	0  
42 	55    	0  	0     	0  	0  
43 	52    	0  	0     	0  	0  
44 	57    	0  	0     	0  	0  
45 	49    	0  	0     	0  	0  
46 	52    	0  	0     	0  	0  
47 	50    	0  	0     	0  	0  
48 	53    	0  	0     	0  	0  
49 	55    	0  	0     	0  	0  
50 	52    	0  	0     	0  	0  
51 	57    	0  	0     	0  	0  
52 	56    	0  	0     	0  	0  
53 	56    	0  	0     	0  	0  
54 	50    	0  	0     	0  	0  
55 	55    	0  	0     	0  	0  
56 	54    	0  	0     	0  	0  
57 	52    	0  	0     	0  	0  
58 	58    	0  	0     	0  	0  
59 	54    	0  	0     	0  	0  
60 	50    	0  	0     	0  	0  
61 	56    	0  	0     	0  	0  
62 	47    	0  	0     	0  	0  
63 	55    	0  	0     	0  	0  
64 	56    	0  	0     	0  	0  
Selection: ignoring 1 infeasible solution in a population of size 60
65 	52    	0  	0     	0  	0  
66 	55    	0  	0     	0  	0  
67 	55    	0  	0     	0  	0  
68 	54    	0  	0     	0  	0  
69 	53    	0  	0     	0  	0  
70 	53    	0  	0     	0  	0  
71 	53    	0  	0     	0  	0  
72 	56    	0  	0     	0  	0  
Selection: ignoring 1 infeasible solution in a population of size 60
73 	55    	0  	0     	0  	0  
74 	56    	0  	0     	0  	0  
75 	55    	0  	0     	0  	0  
76 	52    	0  	0     	0  	0  
77 	52    	0  	0     	0  	0  
78 	53    	0  	0     	0  	0  
79 	55    	0  	0     	0  	0  
80 	57    	0  	0     	0  	0  
81 	51    	0  	0     	0  	0  
Selection: ignoring 1 infeasible solution in a population of size 60
82 	51    	0  	0     	0  	0  
83 	56    	0  	0     	0  	0  
84 	55    	0  	0     	0  	0  
85 	53    	0  	0     	0  	0  
86 	55    	0  	0     	0  	0  
87 	53    	0  	0     	0  	0  
88 	53    	0  	0     	0  	0  
89 	55    	0  	0     	0  	0  
Selection: ignoring 1 infeasible solution in a population of size 60
90 	54    	0  	0     	0  	0  
91 	58    	0  	0     	0  	0  
92 	57    	0  	0     	0  	0  
93 	56    	0  	0     	0  	0  
94 	54    	0  	0     	0  	0  
95 	51    	0  	0     	0  	0  
96 	54    	0  	0     	0  	0  
97 	55    	0  	0     	0  	0  
98 	57    	0  	0     	0  	0  
99 	55    	0  	0     	0  	0  
100	52    	0  	0     	0  	0  
Selection: ignoring 1 infeasible solution in a population of size 60
101	57    	0.000601745	0.00458276	0  	0.035503
Selection: ignoring 1 infeasible solution in a population of size 60
102	54    	0.0012474  	0.00638004	0  	0.035503
103	55    	0.00637146 	0.0217353 	0  	0.151816
104	58    	0.0273786  	0.0661298 	0  	0.408324
105	55    	0.0598427  	0.100185  	0  	0.408324
106	55    	0.114666   	0.127007  	0  	0.408324
Selection: ignoring 1 infeasible solution in a population of size 60
107	51    	0.148709   	0.147602  	0  	0.408324
108	58    	0.151596   	0.181236  	0  	0.413072
